Date,Last Price,Volume,RSI,MACD,News Sentiment - Daily Average,News Publication Count,P/E,P/B,Correction
5/1/2018,169.1,53569376,49.432,-0.4948,0.3317,1921,64.17457306,13.0612084,1
4/30/2018,165.26,42427424,42.6135,-0.9399,0.2929,1168,62.71726755,12.76460852,1
4/27/2018,162.32,35655840,36.529,-1.1617,0.1351,2410,61.60151803,12.53752424,1
4/26/2018,164.22,27963014,39.0111,-1.1036,0.1907,2790,62.32258065,12.68427939,0
4/25/2018,163.65,28382084,37.8344,-1.101,0.1681,3027,62.10626186,12.64025284,1
4/24/2018,162.94,33692016,36.4155,-0.9395,0.4901,2829,61.83681214,12.58541276,1
4/23/2018,165.24,36515476,39.1001,-0.5279,0.351,1674,62.70967742,12.76306373,0
4/20/2018,165.72,65491140,39.6668,-0.0614,-0.1997,2845,62.89184061,12.80013872,0
4/19/2018,172.8,34808800,49.4913,0.6368,0.2003,1895,65.57874763,13.34699475,0
4/18/2018,177.84,20754538,59.1801,0.9742,0.3147,2001,67.4914611,13.7362821,0
4/17/2018,178.24,26605442,60.0464,0.9179,0.1589,1877,67.64326376,13.76717792,0
4/16/2018,175.82,21578420,56.4663,0.7138,0.0887,1347,66.72485769,13.5802582,1
4/13/2018,174.73,25124256,54.7713,0.5818,0.1273,1811,66.31119545,13.49606709,1
4/12/2018,174.14,22889284,53.8685,0.4429,0.1719,2286,66.08728653,13.45049575,1
4/11/2018,172.44,22431640,51.2658,0.2558,0.1007,2439,65.44212524,13.31918851,1
4/10/2018,173.25,28614240,52.5782,0.122,0.0737,3255,65.74952562,13.38175255,0
4/9/2018,170.05,29017718,47.663,-0.1701,0.0687,1560,64.53510436,13.13458598,1
4/6/2018,168.38,35005288,44.8951,-0.2816,0.0788,1916,63.90132827,13.00559593,1
4/5/2018,172.8,26933196,51.602,-0.252,0.1035,2185,65.57874763,13.34699475,0
4/4/2018,171.61,34605488,49.7243,-0.6209,0.0808,2988,65.12713472,13.25507968,1
4/3/2018,168.39,30278046,44.2941,-1.0245,0.0695,3551,63.90512334,13.00636832,1
4/2/2018,166.68,37586792,41.1602,-1.2453,0.0582,1153,63.25616698,12.87428869,1
3/29/2018,167.78,38398504,42.5915,-1.3133,0.0441,3342,43.68133299,12.18731698,0
3/28/2018,166.48,41668544,40.3138,-1.4225,0.1196,5286,43.34287946,12.09288671,1
3/27/2018,168.34,40922580,42.557,-1.3489,0.1928,2698,43.82712835,12.22799464,0
3/26/2018,172.77,37541236,48.5289,-1.3164,0.0476,2059,44.98047383,12.54978398,0
3/23/2018,164.94,41028784,33.1274,-1.6191,0.1069,2215,42.9419422,11.98102315,1
3/22/2018,168.85,41490768,38.4643,-1.1876,0.1916,2161,43.95990627,12.26504037,0
3/21/2018,171.27,37054936,42.389,-0.822,0.1939,2224,44.58995053,12.44082596,0
